,Latitude,Longitude,TVD_FT,Vintage,LateralLength_FT,WellsPerSectionSameZone,Payzone_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,CONDENSATE,DRY GAS,OIL,WET GAS,1ST BONE SPRING,2ND BONE SPRING,2ND BONE SPRING SAND,3RD BONE SPRING,3RD BONE SPRING SAND,LOWER AVALON,MIDDLE AVALON,UPPER AVALON,WOLFCAMP A LOWER,WOLFCAMP A UPPER,WOLFCAMP B LOWER,WOLFCAMP B UPPER,WOLFCAMP C,WOLFCAMP D,CHILD,CO-COMPLETED,PARENT,STANDALONE,EURWH_MBOE,OilEURWH_MBBL,GasEURWH_BCF
51,32.049076,-104.217787,9609.0,2018,9822.0,1.0,179.0,75.55,2.57,22.25,0.082,0.063,0.25,0.69,0.72,11.26,0.021,3.7,2.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1900,372,9.2
52,32.10679,-104.065308,9758.0,2018,9608.0,1.0,120.0,59.78,2.56,23.9,0.096,0.076,0.18,0.74,0.39,9.21,0.039,4.7,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1478,846,3.8
53,32.387817,-103.427135,11245.0,2020,6750.0,4.0,249.0,72.19,2.59,21.28,0.069,0.057,0.16,0.77,0.51,14.2,0.029,7.3,1.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,798,662,0.8
54,32.537381,-103.605271,10668.0,2020,4694.0,2.0,466.0,67.0,2.57,236.27,0.08,0.067,0.13,0.81,0.23,31.1,0.053,24.9,1.88,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1081,914,1.0
55,32.31331,-103.762713,11415.0,2022,9903.0,3.0,411.0,71.66,2.58,8.92,0.074,0.062,0.16,0.78,0.66,25.58,0.021,8.7,0.56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1777,1104,4.0
56,32.269836,-103.951789,9061.0,2022,10015.0,7.0,268.0,63.93,2.59,37.21,0.075,0.062,0.15,0.8,0.49,16.72,0.027,7.3,0.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1384,747,3.8
57,32.65118,-104.069682,7091.0,2014,3966.0,2.0,191.0,64.57,2.58,175.28,0.076,0.065,0.12,0.81,0.61,12.32,0.019,3.7,1.62,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,457,173,1.7
58,32.165931,-103.98738,8697.0,2015,4412.0,1.0,401.0,69.82,2.58,82.99,0.076,0.064,0.16,0.78,0.47,25.81,0.031,12.6,1.44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,986,655,2.0
59,32.065566,-103.700188,11882.0,2018,4428.0,6.0,134.0,79.5,2.59,87.52,0.068,0.054,0.2,0.75,0.75,7.36,0.017,2.3,1.53,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,495,278,1.3
60,32.252876,-104.029977,9899.0,2019,10010.0,2.0,150.0,65.78,2.56,65.09,0.086,0.073,0.15,0.77,0.61,10.67,0.031,4.7,2.16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1102,642,2.8
61,32.568637,-103.847041,9500.0,2022,9894.0,1.0,407.0,76.26,2.57,116.14,0.085,0.071,0.15,0.78,0.4,28.74,0.043,17.4,2.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1211,726,2.9
62,32.211006,-103.720848,8287.0,2011,3820.0,3.0,409.0,69.16,2.58,661.02,0.074,0.063,0.13,0.81,0.22,25.59,0.055,22.5,1.98,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,132,91,0.2
63,32.663015,-103.883689,8050.0,2014,4413.0,2.0,315.0,78.35,2.59,122.15,0.069,0.06,0.14,0.79,0.69,18.83,0.015,4.6,1.35,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,220,85,0.8
64,32.064101,-103.638921,9661.0,2016,4702.0,2.0,302.0,80.74,2.51,493.57,0.12,0.094,0.21,0.7,0.24,28.44,0.074,22.3,3.34,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1201,400,4.8
65,32.215084,-104.049457,9950.0,2018,4504.0,1.0,176.0,61.41,2.57,71.67,0.081,0.064,0.16,0.78,0.64,11.19,0.029,5.0,1.66,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,722,377,2.1
66,32.108722,-104.09821,9437.0,2019,9718.0,1.0,114.0,74.09,2.55,34.85,0.117,0.076,0.18,0.74,0.65,8.51,0.034,3.9,2.32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1113,547,3.4
67,32.164664,-103.708569,8984.0,2022,9808.0,7.0,493.0,86.63,2.51,175.48,0.114,0.093,0.18,0.73,0.29,45.98,0.068,33.7,3.09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1947,448,9.0
68,32.189351,-103.452837,11239.0,2021,7135.0,4.0,538.0,61.49,2.58,160.01,0.075,0.064,0.14,0.79,0.21,34.53,0.047,25.3,1.91,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1453,1145,1.8
69,32.19625,-103.58461,12725.0,2021,10050.0,3.0,347.0,55.63,2.6,493.89,0.064,0.057,0.12,0.83,0.35,19.76,0.04,13.9,1.67,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,940,636,1.8
70,32.164808,-103.526502,12515.0,2023,9962.0,6.0,190.0,76.28,2.56,93.62,0.086,0.073,0.18,0.74,0.46,13.01,0.036,6.8,2.44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1616,1094,3.1
71,32.626526,-104.000603,8497.0,2013,6110.0,1.0,179.0,75.85,2.6,129.13,0.064,0.054,0.17,0.78,0.44,9.68,0.024,4.4,1.02,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,643,422,1.3
